DATA AS OF,DEVELOPMENT,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT
1/1/16,BORINQUEN PLAZA II,NY005012430,271,243,390,353,NY005195,FEDERAL,TURNKEY,NEW CONST,,425,425,2265.5,5.33,,"1,183","1,183",7,0,7,7,"184,000",4.22,"184,000",4.22,"61,115","4,223,000",33.21%,280.33,"$16,411,918","$7,244",$576.00,BOERUM ST,HUMBOLDT ST,SEIGEL ST,BUSHWICK AVE,BROOKLYN,1,7,18,53,34,12/31/75,,,,
1/1/16,BOSTON ROAD PLAZA,NY005010390,189,039,304,304,NY005095,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,233,235,817.5,3.51,,274,274,1,1,2,20,"84,416",1.94,"84,416",1.94,"15,045","1,589,318",17.82%,141.24,"$7,125,145","$8,452",$364.57,MACE AVE,HOLLAND AVE,WARING AVE,BOSTON RD,BRONX,11,14,34,80,13,8/31/72,,EXCLUSIVELY,,
1/1/16,BOSTON SECOR,NY005011380,138,138,254,254,NY005060,FEDERAL,CONVENTIONAL,NEW CONST,,538,538,2487.0,4.62,,"1,370","1,370",4,2,5,13-14-17-18,"612,889",14.07,"612,889",14.07,"36,181","4,849,474",5.90%,97.37,"$11,894,964","$4,778",$464.01,IRT-DYRE AVE LINE,BOSTON RD,STEENWICK AVE,,BRONX,12,16,36,83,12,4/30/69,,,,
1/1/16,BOULEVARD,NY005020460,046,046,637,637,NY005369,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,364,"1,424","1,441",5992.0,4.21,733,2104,"2,837",18,0,30,6-14,"1,127,650",25.89,"1,127,650",25.89,"170,051","12,141,094",15.08%,109.58,"$13,645,438","$2,247",$480.99,LINDEN BLVD,ASHFORD ST,WORTMAN AVE,SCHENCK AVE,BROOKLYN,5,8,19,60,42,3/22/51,,,,
1/1/16,BOYNTON AVENUE REHAB,NY005010320,346,032,767,533,NY005249,FEDERAL,TURNKEY,REHAB,,82,82,367.0,4.4800000000000004,,188,188,3,0,3,4-6,"30,000",0.69,"30,000",0.69,"16,455","999,600",54.85%,272.45999999999998,"$4,943,129","$13,396",$472.65,WATSON AVE,WARD AVE,BRUCKNER BLVD,ELDER AVE,BRONX,9,15,32,85,18,8/22/85,,,YES,
1/1/16,BRACETTI PLAZA,NY005012920,264,292,379,370,NY005185,FEDERAL,TURNKEY,NEW CONST,,108,108,538.0,4.9800000000000004,,266,266,1,0,2,7,"44,353",1.02,"44,353",1.02,"18,790","1,216,072",42.36%,260.77999999999997,"$4,364,419","$8,008",$584.23,E 3RD ST,AVENUE C,E 4TH ST,AVENUE B,MANHATTAN,3,12,26,74,2,5/31/74,,,,
1/1/16,BREUKELEN,NY005000560,056,056,212,212,NY005011,FEDERAL,CONVENTIONAL,NEW CONST,,"1,594","1,595",7469.0,4.6900000000000004,,"3,612","3,612",30,2,97,3-7,"2,830,416",64.98,"2,141,741",49.17,"360,423","14,297,000",12.73%,55.59,"$18,410,273","$2,464",$509.71,STANLEY AVE,FLATLANDS AVE,E 103RD ST,WILLIAMS AVE,BROOKLYN,18,8,19,"58, 60",42,11/6/52,,,,
1/1/16,BREVOORT,NY005000650,065,065,213,213,NY005017,FEDERAL,CONVENTIONAL,NEW CONST,,894,896,4187.0,4.68,,"1,969","1,969",13,1,27,7,"751,896",17.260000000000002,"687,188",15.78,"121,363","7,735,916",16.14%,114.08,"$11,831,887","$2,849",$505.60,BAINBRIDGE ST,RALPH AVE,FULTON ST,PATCHEN AVE,BROOKLYN,3,8,25,55,41,8/10/55,,,,
1/1/16,BRONX RIVER,NY005010320,032,032,533,533,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST,,"1,245","1,246",5938.5,4.7699999999999996,,"3,062","3,062",9,1,10,14,"607,297",13.94,"563,737",12.94,"84,235","10,772,413",13.87%,219.66,"$12,719,000","$2,131",$482.78,BRONX RIVER AVE,HARROD AVE,E 174TH ST,,BRONX,9,15,32,85,18,2/28/51,1978/07/01-ATP 3,,,
1/1/16,BRONX RIVER ADDITION,NY005010320,157,032,533,533,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,226,226,640.0,2.83,,240,240,2,0,2,6-14,"62,500",1.43,"62,500",1.43,"12,286","1,529,115",19.66%,167.83,"$3,928,000","$6,128",$273.99,E 172ND ST,E 174TH ST,MANOR AVE,HARROD AVE,BRONX,9,15,32,85,18,2/28/66,1978/07/01-ATP 3,EXCLUSIVELY,,
1/1/16,BROWN,NY005012520,325,252,336,336,NY005277,FEDERAL,TURNKEY,NEW CONST (ELD),,200,200,700.0,3.5,,218,218,2,0,2,6,"99,460",2.2799999999999998,"99,460",2.2799999999999998,"29,354","1,493,904",29.51%,95.61,"$13,425,060","$19,179",$339.11,EASTERN PKWY,PROSPECT PL,HOPKINSON AVE,SAINT MARKS AVE,BROOKLYN,16,8,20,55,41,7/23/85,,EXCLUSIVELY,YES,
1/1/16,BROWNSVILLE,NY005000160,016,016,512,512,NY005213D,FEDERAL,CONVENTIONAL,NEW CONST,,"1,336","1,338",6280.0,4.7,,"3,248","3,248",27,0,46,6-7,"819,997",18.82,"732,841",16.82,"188,564","10,371,638",23.00%,172.58,"$12,898,000","$2,054",$461.48,SUTTER AVE,DUMONT AVE,MOTHER GASTON BLVD,ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,4/16/48,1977/07/01-ATP 1,,,
1/1/16,BRYANT AVENUE-EAST 174TH STREET,NY005015300,235,530,352,748,NY005145,FEDERAL,TURNKEY,NEW CONST,,72,72,284.0,3.94,,135,135,1,0,1,6,"22,500",0.52,"22,500",0.52,"9,879","672,864",43.91%,259.62,"$2,132,334","$7,315",$448.70,E 174TH ST,BRYANT AVE,E 173RD ST,VYSE AVE,BRONX,3,15,32,79,17,8/31/72,,,,YES
1/1/16,BUSHWICK,NY005020860,086,086,430,430,NY005370,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,182,"1,220","1,220",5673.0,4.6500000000000004,506,2444,"2,950",8,0,8,13-20,"697,736",16.02,"639,260",14.68,"78,768","11,288,105",11.29%,184.14,"$20,346,000","$3,599",$469.23,HUMBOLDT ST,MOORE ST,BUSHWICK AVE,FLUSHING AVE,BROOKLYN,1,7,18,53,34,4/1/60,,,,
1/1/16,BUSHWICK II (GROUPS A & C),NY005012470,302,247,565,546,NY005222,FEDERAL,TURNKEY,NEW CONST,,299,300,1446.5,4.84,,747,747,25,0,25,3,"402,930",9.25,"402,930",9.25,"102,600","3,200,584",25.46%,80.760000000000005,"$20,840,392","$14,235",$541.54,CENTRAL AVE,HARMAN AVE,GREEN AVE,HALSEY ST,BROOKLYN,4,"7, 8",18,"53, 54","34, 37",7/19/84,,,YES,
1/1/16,BUSHWICK II (GROUPS B & D),NY005012470,303,247,566,546,NY005240,FEDERAL,TURNKEY,NEW CONST,,300,300,1450.0,4.83,,726,726,25,1,27,3,"440,392",10.11,"440,392",10.11,"102,600","3,200,584",23.30%,71.81,"$19,608,177","$13,339",$513.37,GATES AVE,WILSON AVE,MADISON AVE,EVERGREEN AVE,BROOKLYN,4,7,18,"53, 54","34, 37",7/5/84,,,YES,
1/1/16,BUSHWICK II CDA (GROUP E),NY005012470,324,247,758,546,NY005263,FEDERAL,TURNKEY,NEW CONST,,276,276,1212.0,4.3899999999999997,,543,543,5,0,37,3,"300,000",6.89,"300,000",6.89,"84,230","2,198,403",28.08%,78.81,"$20,078,888","$16,539",$473.44,KNICKERBOCKER AVE,WILSON AVE,GATES AVE,MENAHAN ST,BROOKLYN,4,7,18,53,37,12/10/86,,,YES,
1/1/16,BUTLER,NY005001130,113,113,435,435,NY005362,FEDERAL,CONVENTIONAL,NEW CONST,,"1,476","1,492",7217.0,4.8899999999999997,,"4,470","4,470",6,1,7,21,"558,096",12.81,"558,096",12.81,"88,255","13,527,100",15.81%,348.95,"$29,633,000","$4,068",$469.08,E 169TH ST,E 171ST ST,WEBSTER AVE,PARK AVE,BRONX,3,15,33,79,16,12/31/64,1995/07/13-PTA,,,
1/1/16,CAMPOS PLAZA II,NY005012570,286,292,593,593,NY005264,FEDERAL,CONVENTIONAL,NEW CONST,,224,224,1088.0,4.8600000000000003,,515,515,2,0,3,9-17,"93,155",2.14,"93,155",2.14,"29,149","2,470,285",31.29%,240.65,"$17,601,547","$16,193",$589.27,AVENUE B,E 14TH ST,AVENUE C,E 13TH ST,MANHATTAN,3,12,27,74,2,4/30/83,,,YES,
1/1/16,CAREY GARDENS,NY005011660,166,166,288,288,NY005088,FEDERAL,CONVENTIONAL,NEW CONST,,682,683,3095.0,4.54,,"1,709","1,709",3,2,5,15-17,"364,406",8.3699999999999992,"364,406",8.3699999999999992,"58,078","6,234,149",15.94%,204.18,"$16,996,504","$5,476",$460.90,W 24TH ST,NEPTUNE AVE,W 22ND ST,SURF AVE,BROOKLYN,13,8,23,46,47,11/30/70,,,,
1/1/16,CARLETON MANOR,NY005010750,164,075,270,226,NY005073,FEDERAL,CONVENTIONAL,NEW CONST,,169,174,728.5,4.3099999999999996,,357,357,1,0,1,11,"145,011",3.33,"145,011",3.33,"14,051","1,386,194",9.69%,107.21,"$3,373,126","$4,498",$435.49,ROCKAWAY FRWY,BEACH CHANNEL DR,,,QUEENS,14,5,10,31,31,3/31/67,,,,
1/1/16,CARVER,NY005000580,058,058,534,534,NY005220E,FEDERAL,CONVENTIONAL,NEW CONST,,"1,246","1,246",5770.0,4.63,,"2,648","2,648",13,0,13,6-15,"637,132",14.63,"594,887",13.66,"97,568","10,275,141",15.31%,181,"$24,155,000","$4,145",$524.44,E 99TH ST,PARK AVE,MADISON AVE,E 106TH ST,MANHATTAN,11,13,30,68,8,2/14/58,1978/07/01-ATP 3,,,
1/1/16,CASSIDY-LAFAYETTE,NY005011170,206,117,319,241,NY005122,FEDERAL,TURNKEY,NEW CONST (ELD),,378,380,1248.0,3.3,,424,424,4,1,5,6,"224,294",5.15,"224,294",5.15,"54,589","2,858,593",24.34%,82.33,"$6,866,904","$5,315",$307.31,CASSIDY PL,FILLMORE ST,LAFAYETTE AVE,CLINTON AVE,STATEN ISLAND,1,11,23,61,49,9/30/71,,EXCLUSIVELY,,
1/1/16,CASTLE HILL,NY005020800,080,080,431,431,NY005371,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,318,"2,024","2,025",9769.0,4.83,1001,4170,"5,171",14,0,14,12-20,"1,801,346",41.35,"1,757,585",40.35,"176,917","19,247,987",9.82%,125.05,"$28,454,000","$2,915",$459.06,OLMSTEAD AVE,HAVEMEYER AVE,LACOMBE AVE,CINCINNATUS AVE,BRONX,9,15,32,87,18,12/15/60,,,,
1/1/16,CHELSEA,NY005021340,134,134,446,446,NY005372,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,57,425,425,1914.5,4.5,167,747,914,2,0,4,21,"74,488",1.71,"74,488",1.71,"18,557","3,689,065",24.91%,534.5,"$8,776,000","$4,584",$520.66,W 25TH ST,W 26TH ST,NINTH AVE,,MANHATTAN,4,10,27,75,3,5/31/64,,,,
1/1/16,CHELSEA ADDITION,NY005011340,176,134,451,451,NY005361,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,96,96,336.0,3.5,,116,116,1,0,1,14,"44,921",1.03,"44,921",1.03,"14,475","1,021,739",32.22%,112.62,"$2,402,000","$7,149",$326.05,CHELSEA PARK,W 26TH ST,TENTH AVE,,MANHATTAN,4,10,31,75,3,4/30/68,1995/07/13-PTA,EXCLUSIVELY,,
