,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Unemp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
157,Upper East Side-Carnegie Hill,28293,0.441,0.559,47.3,0.054,0.855,0.011,0.057,0.028,155213,0.976,0.059,0.648,0.499,0.02,0.841,0.059,0.076,0.564
158,Upper West Side,55906,0.452,0.548,41.8,0.162,0.657,0.081,0.073,0.045,92268,0.924,0.108,0.46,0.373,0.068,0.731,0.037,0.097,0.513
159,Van Cortlandt Village,24472,0.475,0.525,34.2,0.652,0.097,0.196,0.035,0.107,40669,0.819,0.262,0.36,0.278,0.275,0.188,0.028,0.106,0.475
160,Van Nest-Morris Park-Westchester Square,20904,0.492,0.508,33,0.556,0.24,0.101,0.085,0.094,44588,0.839,0.246,0.416,0.36,0.256,0.21,0.031,0.112,0.429
161,Washington Heights North,28729,0.502,0.498,36.7,0.657,0.253,0.049,0.026,0.087,50192,0.866,0.2,0.364,0.318,0.258,0.374,0.019,0.095,0.467
162,Washington Heights South,45964,0.499,0.501,35.2,0.72,0.119,0.111,0.03,0.092,36518,0.815,0.275,0.284,0.25,0.34,0.267,0.019,0.13,0.463
163,West Brighton,6947,0.412,0.588,58.5,0.005,0.982,0.008,0.003,0.044,38047,0.926,0.147,0.591,0.433,0.068,0.456,0.037,0.23,0.897
164,West Concourse,36931,0.475,0.525,31.5,0.691,0.012,0.244,0.03,0.093,27637,0.826,0.366,0.323,0.277,0.37,0.125,0.016,0.152,0.449
165,West Farms-Bronx River,27875,0.492,0.508,31.7,0.662,0.023,0.246,0.044,0.085,29382,0.784,0.348,0.328,0.285,0.383,0.115,0.026,0.123,0.363
166,West New Brighton-New Brighton-St. George,29928,0.493,0.507,33.3,0.315,0.251,0.354,0.038,0.059,48439,0.888,0.277,0.411,0.368,0.164,0.275,0.054,0.111,0.413
167,West Village,65567,0.497,0.503,36.6,0.059,0.806,0.02,0.084,0.039,112689,0.956,0.069,0.311,0.304,0.014,0.838,0.027,0.065,0.437
168,Westchester-Unionport,18182,0.474,0.526,32.6,0.622,0.048,0.157,0.14,0.105,45536,0.857,0.228,0.365,0.325,0.276,0.172,0.027,0.105,0.457
169,Westerleigh,8627,0.487,0.513,40.4,0.156,0.717,0.026,0.076,0.043,82128,0.956,0.076,0.597,0.535,0.078,0.346,0.071,0.109,0.704
170,Whitestone,9435,0.489,0.511,43.5,0.162,0.641,0.005,0.17,0.045,80546,0.905,0.066,0.576,0.531,0.135,0.349,0.046,0.093,0.714
171,Williamsbridge-Olinville,38054,0.453,0.547,34.3,0.248,0.025,0.688,0.013,0.117,39178,0.862,0.239,0.356,0.257,0.227,0.18,0.03,0.133,0.553
172,Williamsburg,7824,0.51,0.49,20,0.11,0.854,0.031,0.001,0.028,21502,0.948,0.565,0.65,0.607,0.305,0.083,0.007,0.072,0.721
173,Windsor Terrace,5925,0.471,0.529,37.5,0.143,0.662,0.054,0.109,0.046,82297,0.934,0.102,0.527,0.454,0.094,0.607,0.028,0.08,0.64
174,Woodhaven,23377,0.491,0.509,33.9,0.531,0.152,0.048,0.239,0.078,61804,0.845,0.156,0.485,0.459,0.235,0.219,0.023,0.105,0.557
175,Woodlawn-Wakefield,19701,0.47,0.53,37.5,0.18,0.163,0.601,0.034,0.09,55443,0.862,0.155,0.389,0.318,0.164,0.269,0.043,0.101,0.617
176,Woodside,17014,0.512,0.488,36.6,0.36,0.223,0.013,0.38,0.049,50952,0.764,0.148,0.456,0.439,0.224,0.323,0.021,0.072,0.449
